fips_cntry,sat,year,count,sum,mean,stddev,min,max
AA,f10,1992,220,6738,30.62727273,18.17533748,5,63
AC,f10,1992,347,4044,11.65417867,10.2805742,4,56
AE,f10,1992,34476,542074,15.72322775,16.82423059,3,63
AF,f10,1992,2034,24824,12.20452311,10.82980243,3,59
AG,f10,1992,144271,1561919,10.82628525,11.534396,3,63
AJ,f10,1992,20190,250597,12.4119366,10.29913878,4,61
AL,f10,1992,1477,11534,7.809072444,4.931498145,4,39
AM,f10,1992,2276,32735,14.38268893,10.95572809,5,59
AN,f10,1992,649,11314,17.43297381,14.60793916,4,63
AO,f10,1992,5113,53979,10.55720712,10.70604981,3,63
AQ,f10,1992,175,2225,12.71428571,7.483969262,3,32
AR,f10,1992,86170,1421885,16.5009284,15.71106485,3,63
AS,f10,1992,104195,1457018,13.98356927,16.07708465,2,63
AU,f10,1992,60958,682748,11.20030185,8.774691731,3,63
AV,f10,1992,86,853,9.918604651,4.190840278,4,21
AY,f10,1992,67,345,5.149253731,0.868241168,4,8
BA,f10,1992,923,39176,42.44420368,21.80366138,5,63
BB,f10,1992,522,12673,24.27777778,16.40966927,5,63
BC,f10,1992,3188,26888,8.43412798,8.951548916,3,63
BD,f10,1992,86,2981,34.6627907,12.82857499,5,63
BE,f10,1992,54327,1462637,26.92283763,16.65574321,4,63
BF,f10,1992,1212,21147,17.4480198,18.40674752,4,63
BG,f10,1992,38116,279037,7.320731451,8.384761816,2,63
BH,f10,1992,685,6062,8.849635036,8.07117177,4,54
BK,f10,1992,3000,23881,7.960333333,3.166295399,3,32
BL,f10,1992,13225,147903,11.18359168,12.22551869,3,63
BM,f10,1992,8635,66649,7.718471338,7.955191564,2,63
BN,f10,1992,1493,12821,8.587407904,8.590008186,4,58
BO,f10,1992,73889,892202,12.07489613,9.190035898,4,62
BP,f10,1992,70,462,6.6,2.680085286,4,18
BR,f10,1992,361280,4651721,12.87566707,13.31275978,2,63
BT,f10,1992,285,2109,7.4,4.212096199,3,26
BU,f10,1992,50646,441566,8.718674723,7.232406107,3,63
BV,f10,1992,0,0,0,0,0,0
BX,f10,1992,1122,21551,19.20766488,16.64590366,5,63
BY,f10,1992,135,3301,24.45185185,14.7103987,7,60
CA,f10,1992,937191,13799237,14.72403918,12.46618677,4,63
CB,f10,1992,543,4794,8.828729282,10.38832322,3,62
CD,f10,1992,326,3987,12.23006135,11.81448438,4,62
CE,f10,1992,18950,137893,7.276675462,7.186804056,3,63
CF,f10,1992,1143,19070,16.68416448,15.88770147,4,63
CG,f10,1992,3180,59485,18.70597484,15.40691349,4,63
CH,f10,1992,1100724,9967986,9.055845062,9.614066006,2,63
CI,f10,1992,16432,307076,18.68768257,16.50388182,3,63
CJ,f10,1992,241,3674,15.24481328,15.87379636,3,63
CK,f10,1992,0,0,0,0,0,0
CM,f10,1992,2699,34475,12.77324935,12.62678905,4,63
CN,f10,1992,83,417,5.024096386,1.464239624,3,10
CO,f10,1992,60774,753834,12.40388982,12.26892591,3,63
CQ,f10,1992,202,4251,21.04455446,17.5373151,4,62
CS,f10,1992,5816,95381,16.39975928,15.47602952,3,63
CT,f10,1992,428,5878,13.73364486,8.932984597,4,51
CU,f10,1992,11392,95441,8.37789677,8.8928851,3,63
CV,f10,1992,279,2605,9.336917563,9.943267341,4,53
CW,f10,1992,84,417,4.964285714,1.636244456,3,13
CY,f10,1992,9257,102830,11.10835044,12.14542399,4,63
DA,f10,1992,55903,747704,13.3750246,11.64526344,5,63
DJ,f10,1992,243,3153,12.97530864,15.05078534,4,63
DO,f10,1992,138,758,5.492753623,3.02225172,4,19
DR,f10,1992,8441,100752,11.93602654,13.08707705,3,63
EC,f10,1992,24811,286153,11.53331184,11.55997205,4,63
EG,f10,1992,90009,1436990,15.96495906,13.59008514,3,63
EI,f10,1992,54690,548376,10.02698848,9.547423916,5,63
EK,f10,1992,621,7016,11.2979066,10.61399187,4,60
EN,f10,1992,9293,151391,16.29086409,11.59238477,6,63
ER,f10,1992,264,3582,13.56818182,12.37096624,3,54
ES,f10,1992,5748,64160,11.16214335,12.03764163,3,63
ET,f10,1992,2504,24290,9.700479233,10.80204837,3,63
EZ,f10,1992,117860,1327799,11.26590022,9.190230812,3,63
FG,f10,1992,752,8878,11.80585106,11.20621825,4,61
FI,f10,1992,128335,2391577,18.63542292,13.3871018,6,63
FJ,f10,1992,1352,10913,8.071745562,4.622113739,4,34
FK,f10,1992,286,2395,8.374125874,5.411386768,4,28
FM,f10,1992,160,1076,6.725,3.908244491,3,24
FO,f10,1992,226,4282,18.94690265,9.77928161,10,49
FP,f10,1992,609,3972,6.522167488,6.160143988,3,44
FR,f10,1992,481403,6463469,13.42631641,12.66556115,3,63
FS,f10,1992,13,60,4.615384615,0.486504255,4,5
GA,f10,1992,197,2090,10.60913706,10.56594077,3,51
GB,f10,1992,4026,61149,15.18852459,15.40641596,3,63
GG,f10,1992,8010,104738,13.07590512,10.28670068,4,63
GH,f10,1992,7194,84107,11.6912705,13.10360181,3,63
GI,f10,1992,10,464,46.4,9.830564582,25,58
GJ,f10,1992,227,1448,6.378854626,4.153136123,4,24
GK,f10,1992,132,3196,24.21212121,11.06730806,5,45
GL,f10,1992,484,8685,17.94421488,10.90373863,6,56
GM,f10,1992,492671,6770714,13.742871,11.79335352,3,63
GP,f10,1992,1684,23451,13.92577197,12.30505278,3,63
GQ,f10,1992,659,17166,26.04855842,17.87523979,4,63
GR,f10,1992,68563,634184,9.249653603,9.804324845,3,63
GT,f10,1992,8331,86877,10.42815988,11.54693134,3,63
GV,f10,1992,359,5933,16.5264624,9.199354859,5,47
GY,f10,1992,815,7416,9.099386503,7.61520514,4,58
GZ,f10,1992,7980,119584,14.98546366,12.51273193,4,63
HA,f10,1992,758,9743,12.85356201,13.49634688,4,63
HM,f10,1992,62,604,9.741935484,3.724095404,5,19
HO,f10,1992,4555,52875,11.60812294,12.50688942,3,63
HR,f10,1992,16658,177512,10.65626126,8.819748004,4,63
HU,f10,1992,50171,550613,10.97472644,8.899253133,4,63
IC,f10,1992,3319,101856,30.68876168,15.08642862,8,63
ID,f10,1992,77798,917556,11.79408211,11.67286182,2,63
IM,f10,1992,529,7714,14.58223062,11.58356447,6,57
IN,f10,1992,1197891,7966626,6.65054333,7.002179778,2,63
IO,f10,1992,20,370,18.5,12.6747781,4,37
IR,f10,1992,326991,3636167,11.12008282,12.05133895,2,63
IS,f10,1992,17681,386383,21.85300605,18.55655812,3,63
IT,f10,1992,333353,5611484,16.83345883,13.8179327,4,63
IV,f10,1992,4082,50508,12.3733464,13.22302399,4,63
IZ,f10,1992,91440,1010713,11.05329178,11.72045312,3,63
JA,f10,1992,311025,6258004,20.12058195,17.67079623,3,63
JE,f10,1992,226,5429,24.02212389,12.50077686,7,57
JM,f10,1992,9502,90700,9.545358872,10.81921215,3,63
JO,f10,1992,14881,183679,12.3431893,12.65023775,3,63
KE,f10,1992,4623,60464,13.07895306,12.01848189,4,63
KG,f10,1992,10768,139873,12.98969168,9.014588308,4,59
KN,f10,1992,3831,29345,7.659879927,6.568710457,4,55
KR,f10,1992,9,38,4.222222222,0.785674201,3,5
KS,f10,1992,124768,1522950,12.20625481,12.27102746,3,63
KT,f10,1992,15,71,4.733333333,0.77172246,4,6
KU,f10,1992,14883,231023,15.52260969,17.74213212,4,63
KZ,f10,1992,149589,1866167,12.47529564,10.44650697,3,63
LA,f10,1992,968,8776,9.066115702,9.383901757,2,59
LE,f10,1992,9795,108632,11.09055641,10.07268468,3,63
LG,f10,1992,11845,152570,12.88054031,10.13417776,6,60
LH,f10,1992,17355,209172,12.0525497,9.254835374,4,56
LI,f10,1992,177,1114,6.293785311,2.52973633,4,18
LO,f10,1992,54899,696670,12.69003078,8.742020746,5,63
LS,f10,1992,180,3219,17.88333333,7.847345623,5,38
LT,f10,1992,937,6518,6.95624333,7.398635974,3,59
LU,f10,1992,4644,80185,17.2663652,13.42906128,5,63
LY,f10,1992,90369,1040777,11.51696931,12.10443232,3,63
MA,f10,1992,594,8845,14.89057239,12.53640404,3,60
MB,f10,1992,1306,20795,15.92266462,13.00786631,4,63
MD,f10,1992,32592,360923,11.07397521,6.651865886,4,60
MF,f10,1992,70,427,6.1,2.391353472,3,11
MG,f10,1992,4466,52826,11.82848186,10.33821923,3,62
MH,f10,1992,84,580,6.904761905,3.899386544,4,21
MI,f10,1992,2590,26626,10.28030888,10.05572304,4,62
MJ,f10,1992,1778,20233,11.37964004,8.682071793,5,56
MK,f10,1992,5207,54423,10.45189168,8.484168866,4,60
ML,f10,1992,593,10960,18.48229342,15.8167235,4,63
MN,f10,1992,4,215,53.75,1.639359631,51,55
MO,f10,1992,32507,336364,10.34743286,12.24245695,3,63
MP,f10,1992,2188,19606,8.960694698,9.271908679,3,61
MR,f10,1992,593,7767,13.09780776,12.73496383,4,63
MT,f10,1992,465,19921,42.84086022,17.35971258,7,63
MU,f10,1992,30735,340779,11.08765251,12.28936389,3,63
MV,f10,1992,24,202,8.416666667,7.554891719,4,35
MX,f10,1992,306438,3501802,11.42744046,12.85625177,3,63
MY,f10,1992,23377,346600,14.82653891,14.38356139,3,63
MZ,f10,1992,2290,23257,10.1558952,10.53112139,3,63
NC,f10,1992,787,7327,9.310038119,12.49103113,3,62
NE,f10,1992,1,4,4.0,0.0,4,4
NF,f10,1992,32,200,6.25,1.391941091,4,9
NG,f10,1992,1429,15254,10.67459762,11.12420142,4,63
NH,f10,1992,231,2099,9.086580087,6.482166144,4,33
NI,f10,1992,85431,1446512,16.93193337,16.42540215,3,63
NL,f10,1992,64325,1458573,22.67505635,15.44155237,4,63
NN,f10,1992,50,2263,45.26,14.73473447,14,62
NO,f10,1992,91943,1678207,18.25268917,12.75334705,4,63
NP,f10,1992,3427,31319,9.138896994,9.010804477,3,63
NR,f10,1992,24,244,10.16666667,4.552166761,4,17
NS,f10,1992,1315,14688,11.16958175,11.15808232,4,62
NU,f10,1992,3262,38424,11.77927652,12.04644444,4,63
NZ,f10,1992,20358,265602,13.04656646,13.65195102,4,63
OD,f10,1992,51,730,14.31372549,3.177680718,8,21
PA,f10,1992,6003,90000,14.99250375,14.22668541,4,63
PC,f10,1992,0,0,0,0,0,0
PE,f10,1992,22749,239566,10.53083652,12.36479673,3,63
PK,f10,1992,247458,2164242,8.745896273,8.605602668,2,63
PL,f10,1992,204962,2431545,11.86339419,9.790536658,3,63
PM,f10,1992,3222,48541,15.06548727,13.88979841,4,63
PO,f10,1992,61466,716516,11.65711125,11.38380205,3,63
PP,f10,1992,1831,25176,13.74986346,10.41795696,4,61
PS,f10,1992,49,360,7.346938776,4.787530659,4,21
PU,f10,1992,115,1527,13.27826087,8.143867072,4,35
QA,f10,1992,10506,164694,15.67618504,16.08547386,4,63
RE,f10,1992,1999,22262,11.13656828,10.93071813,3,62
RI,f10,1992,38974,392677,10.07535793,7.811001412,3,58
RM,f10,1992,19,198,10.42105263,6.635754742,4,30
RN,f10,1992,67,2583,38.55223881,14.21716808,15,62
RO,f10,1992,51095,485068,9.493453371,7.338461029,4,63
RP,f10,1992,20987,228057,10.86658408,11.79113031,2,63
RQ,f10,1992,10826,292308,27.00055422,17.39900258,4,63
RS,f10,1992,1853407,28164149,15.19587926,12.41093955,3,63
RW,f10,1992,285,5642,19.79649123,13.84857919,7,58
SA,f10,1992,202714,2739777,13.51547994,14.84872065,3,63
SB,f10,1992,49,821,16.75510204,7.446491058,6,29
SC,f10,1992,240,2360,9.833333333,8.558459103,4,43
SE,f10,1992,234,2263,9.670940171,7.081232688,4,43
SF,f10,1992,139751,1648741,11.79770449,14.34575554,2,63
SG,f10,1992,2039,21379,10.48504169,11.66441194,3,61
SH,f10,1992,89,543,6.101123596,2.731608341,3,15
SI,f10,1992,12870,135216,10.50629371,7.535572156,5,60
SL,f10,1992,244,2145,8.790983607,6.208250778,4,35
SM,f10,1992,96,2960,30.83333333,12.76768925,13,57
SN,f10,1992,824,45695,55.45509709,14.24049413,8,63
SO,f10,1992,166,1149,6.921686747,2.84327777,4,16
SP,f10,1992,294992,3830023,12.98348091,13.26503448,3,63
ST,f10,1992,508,4265,8.395669291,7.182309642,4,49
SU,f10,1992,10011,118036,11.79063031,12.99311406,3,63
SV,f10,1992,0,0,0,0,0,0
SW,f10,1992,247341,3741557,15.12712005,12.23514745,5,63
SX,f10,1992,193,974,5.046632124,0.210849637,5,6
SY,f10,1992,70251,753145,10.72077266,11.60646032,3,63
SZ,f10,1992,34578,615387,17.7970675,12.03993373,4,63
TB,f10,1992,32,495,15.46875,7.897722674,4,31
TD,f10,1992,4770,67249,14.09832285,14.32716619,4,63
TH,f10,1992,62285,733758,11.78065345,12.30671893,3,63
TI,f10,1992,16672,182435,10.94259837,7.900784065,3,62
TK,f10,1992,107,822,7.682242991,3.086292064,4,16
TL,f10,1992,0,0,0,0,0,0
TN,f10,1992,229,1511,6.598253275,3.657282799,3,28
TO,f10,1992,1479,15240,10.30425963,11.48138639,4,63
TP,f10,1992,75,590,7.866666667,3.473071007,4,16
TS,f10,1992,28115,324688,11.54856838,11.95544879,3,63
TT,f10,1992,189,1384,7.322751323,4.984267402,3,32
TU,f10,1992,144489,1479241,10.23774128,9.730894667,3,63
TV,f10,1992,0,0,0,0,0,0
TX,f10,1992,28973,288070,9.942705277,8.710812947,3,63
TZ,f10,1992,3293,38451,11.6765867,11.74308132,3,63
UC,f10,1992,443,11351,25.62302483,22.15164467,4,63
UG,f10,1992,1111,13635,12.27272727,11.27483213,5,61
UK,f10,1992,305823,6312646,20.64150178,16.89909808,4,63
UP,f10,1992,437140,4871183,11.14330192,8.3676969,4,63
US,f10,1992,3649650,57823260,15.84350828,15.71202179,2,63
UV,f10,1992,778,12163,15.63367609,14.53223514,4,63
UY,f10,1992,5012,100252,20.00239425,15.97295432,5,63
UZ,f10,1992,94588,1202354,12.7114856,10.51417297,3,63
VC,f10,1992,258,2172,8.418604651,7.190861637,4,40
VE,f10,1992,86386,1212372,14.03435742,14.45052121,3,63
VI,f10,1992,97,1343,13.84536082,8.685027057,4,38
VN,f10,1992,26792,172362,6.43333831,6.276276333,2,63
VQ,f10,1992,427,14216,33.29274005,20.9996324,4,63
VT,f10,1992,0,0,0,0,0,0
WA,f10,1992,4655,40603,8.72244898,9.951368366,3,63
WF,f10,1992,46,195,4.239130435,0.51855915,3,5
WQ,f10,1992,24,295,12.29166667,9.24877995,4,35
WS,f10,1992,108,720,6.666666667,4.050605807,3,25
WZ,f10,1992,2745,19109,6.961384335,6.122487046,3,47
YM,f10,1992,19146,157565,8.229656325,8.858242684,3,63
ZA,f10,1992,6543,78068,11.93152988,12.26526394,3,63
ZI,f10,1992,10880,114487,10.52270221,12.68221019,3,63
AA,f10,1993,220,6926,31.4818181818182,19.0538623229383,4,63
AC,f10,1993,389,4891,12.573264781491,11.4138284813134,3,57
AE,f10,1993,38093,550082,14.4405008794267,16.5894322211233,3,63
AF,f10,1993,1714,17913,10.450991831972,8.73853251933824,3,54
AG,f10,1993,165668,1471932,8.88482990076539,10.4199917507514,2,63
