fips_cntry,sat,year,count,sum,mean,stddev,min,max
AA,f10,1992,220,7625,34.6590909090909,18.1973314499909,5,61
AC,f10,1992,347,4833,13.9279538904899,12.032281129744,4,58
AE,f10,1992,34476,611185,17.7278396565727,17.657012238806,2,61
AF,f10,1992,2034,29593,14.5491642084562,12.7975996316471,2,60
AG,f10,1992,144271,1802802,12.4959416653381,12.820086580961,2,61
AJ,f10,1992,20190,301958,14.9558197127291,11.6782322730568,4,60
AL,f10,1992,1477,13572,9.18889641164523,6.5466555313903,4,46
AM,f10,1992,2276,39820,17.4956063268893,12.2967296019315,5,60
AN,f10,1992,649,13362,20.5885978428351,16.0809372175127,4,61
AO,f10,1992,5113,62815,12.2853510659104,12.0256967254221,2,61
AQ,f10,1992,175,2774,15.8514285714286,9.84106183087901,2,39
AR,f10,1992,86170,1643454,19.0722293141465,16.4838682239716,2,61
AS,f10,1992,104195,1632495,15.6676903882144,16.8408164387091,1,61
AU,f10,1992,60958,827611,13.5767413629056,10.0464230562921,2,61
AV,f10,1992,86,1059,12.3139534883721,5.79948198951198,4,27
AY,f10,1992,67,364,5.43283582089552,1.30697189725311,4,10
BA,f10,1992,923,40698,44.0931744312026,19.8428819541378,5,61
BB,f10,1992,522,14813,28.3773946360153,16.2214472556084,5,61
BC,f10,1992,3188,30595,9.59692597239649,10.7353683489082,2,61
BD,f10,1992,86,3461,40.2441860465116,11.9445774857976,5,61
BE,f10,1992,54327,1698189,31.2586559169474,17.1125570179175,4,61
BF,f10,1992,1212,23568,19.4455445544554,19.1695019987917,4,61
BG,f10,1992,38116,310201,8.13834085423444,9.48990152171769,1,61
BH,f10,1992,685,7122,10.3970802919708,9.80257631565346,4,57
BK,f10,1992,3000,28776,9.592,4.30474962492981,2,39
BL,f10,1992,13225,170155,12.8661625708885,13.5973340758323,2,61
BM,f10,1992,8635,75542,8.74834973943254,9.10328156554465,1,61
BN,f10,1992,1493,14748,9.8780977896852,10.0104370784107,4,59
BO,f10,1992,73889,1085939,14.6968966963959,10.4293383547672,4,61
BP,f10,1992,70,528,7.54285714285714,3.79731376590541,4,23
BR,f10,1992,361280,5390094,14.9194364481842,14.3643047705924,1,61
BT,f10,1992,285,2465,8.64912280701754,5.83784155038269,2,33
BU,f10,1992,50646,519025,10.2480946175414,8.44386713160574,2,61
BV,f10,1992,0,0,0,0,0,0
BX,f10,1992,1122,24925,22.2147950089127,17.4316397033566,5,61
BY,f10,1992,135,3919,29.0296296296296,15.4267400078641,8,60
CA,f10,1992,937191,16516209,17.6230981731579,13.5367779465562,4,61
CB,f10,1992,543,5408,9.95948434622468,11.6648334778338,2,61
CD,f10,1992,326,4699,14.4141104294479,13.3466173067867,4,61
CE,f10,1992,18950,155307,8.19562005277045,8.24982557252041,2,61
CF,f10,1992,1143,21991,19.2397200349956,16.6663600158249,4,61
CG,f10,1992,3180,69832,21.959748427673,15.8758236333533,4,61
CH,f10,1992,1100724,11439247,10.3924753162464,10.9524955202652,1,61
CI,f10,1992,16432,355207,21.6167843232717,16.9878276537526,2,61
CJ,f10,1992,241,4200,17.4273858921162,17.2880141307649,2,61
CK,f10,1992,0,0,0,0,0,0
CM,f10,1992,2699,40235,14.9073731011486,13.8927886016373,4,61
CN,f10,1992,83,445,5.36144578313253,2.15416835071104,2,13
CO,f10,1992,60774,881816,14.5097574620726,13.4318188550684,2,61
CQ,f10,1992,202,4883,24.1732673267327,18.3050249611828,4,61
CS,f10,1992,5816,110575,19.0122077028886,16.0639633028947,2,61
CT,f10,1992,428,7262,16.9672897196262,10.6511749665658,4,55
CU,f10,1992,11392,108837,9.55380969101124,10.2002639187197,2,61
CV,f10,1992,279,3002,10.7598566308244,11.9384488336183,4,56
CW,f10,1992,84,442,5.26190476190476,2.38107142559539,2,17
CY,f10,1992,9257,118068,12.7544560872853,13.184020425743,4,61
DA,f10,1992,55903,894753,16.0054558789332,12.7856813605513,5,61
DJ,f10,1992,243,3539,14.5637860082305,16.1219326768895,4,61
DO,f10,1992,138,827,5.99275362318841,4.25201806615995,4,25
DR,f10,1992,8441,115524,13.6860561544841,14.1099480812228,2,61
EC,f10,1992,24811,333691,13.4493168352747,12.8494395930955,4,61
EG,f10,1992,90009,1706798,18.9625259696253,14.9689285524298,2,61
EI,f10,1992,54690,645564,11.804059243006,10.4232221527108,5,61
EK,f10,1992,621,8280,13.3333333333333,12.0767806653899,4,60
EN,f10,1992,9293,184819,19.8879802001507,12.5642581109105,7,61
ER,f10,1992,264,4252,16.1060606060606,14.6154015774133,2,57
ES,f10,1992,5748,73846,12.8472512178149,12.9518935306021,2,61
ET,f10,1992,2504,27695,11.060303514377,11.93428984185,2,61
EZ,f10,1992,117860,1599314,13.5696080095028,10.5728593560391,2,61
FG,f10,1992,752,10463,13.9135638297872,12.6790045527263,4,60
FI,f10,1992,128335,2881731,22.4547551330502,13.9880510027318,7,61
FJ,f10,1992,1352,13034,9.6405325443787,6.29967236495245,4,41
FK,f10,1992,286,2872,10.041958041958,7.38584369420059,4,35
FM,f10,1992,160,1234,7.7125,5.46510235494268,2,31
FO,f10,1992,226,5329,23.5796460176991,10.9885431832716,13,54
FP,f10,1992,609,4428,7.27093596059113,7.7891229332827,2,50
FR,f10,1992,481403,7618271,15.825142344356,13.7100010889958,2,61
FS,f10,1992,13,60,4.61538461538462,0.48650425541052,4,5
GA,f10,1992,197,2447,12.4213197969543,12.7864201553881,2,55
GB,f10,1992,4026,70198,17.4361649279682,16.3097508190668,2,61
GG,f10,1992,8010,127171,15.8765293383271,11.2246434314968,4,61
GH,f10,1992,7194,95849,13.3234639977759,14.0380371085151,2,61
GI,f10,1992,10,508,50.8,7.92212092813534,32,59
GJ,f10,1992,227,1646,7.2511013215859,5.72216004033258,4,31
GK,f10,1992,132,3917,29.6742424242424,12.4258383121386,5,51
GL,f10,1992,484,10723,22.154958677686,11.9896113863895,7,58
GM,f10,1992,492671,8111732,16.4648051133515,13.0069766099521,2,61
GP,f10,1992,1684,27956,16.6009501187648,13.6947949975033,2,61
GQ,f10,1992,659,19700,29.8937784522003,18.0510389400683,4,61
GR,f10,1992,68563,728710,10.6283272318889,10.9695735636747,2,61
GT,f10,1992,8331,99366,11.9272596326972,12.4903896285805,2,61
GV,f10,1992,359,7400,20.6128133704735,10.8760016742923,5,52
GY,f10,1992,815,8741,10.7251533742331,9.06787184642031,4,59
GZ,f10,1992,7980,143170,17.9411027568922,13.7416473527334,4,61
HA,f10,1992,758,11244,14.8337730870712,14.6176897662231,4,61
HM,f10,1992,62,753,12.1451612903226,5.20807925152013,5,25
HO,f10,1992,4555,60811,13.3503841931943,13.6364172041756,2,61
HR,f10,1992,16658,213472,12.8149837915716,10.0875557678284,4,61
HU,f10,1992,50171,664850,13.2516792569413,10.2027414369949,4,61
IC,f10,1992,3319,118528,35.7119614341669,13.8559567316081,10,61
ID,f10,1992,77798,1075341,13.822219080182,12.8589644533588,1,61
IM,f10,1992,529,9339,17.6540642722117,12.9879756635543,7,58
IN,f10,1992,1197891,8781977,7.3311987484671,8.0392241039095,1,61
IO,f10,1992,20,449,22.45,15.3345198816265,4,44
IR,f10,1992,326991,4186279,12.8024288130254,13.2236388155802,1,61
IS,f10,1992,17681,438620,24.8074203947741,18.8987539743782,2,61
IT,f10,1992,333353,6676563,20.0285073180682,14.8873902298552,4,61
IV,f10,1992,4082,57995,14.2074963253307,14.2199876116598,4,61
IZ,f10,1992,91440,1169186,12.7863735783027,12.9434486638804,2,61
JA,f10,1992,311025,7159083,23.0177091873644,18.1339511617548,2,61
JE,f10,1992,226,6585,29.1371681415929,13.1648411805085,8,58
JM,f10,1992,9502,103047,10.8447695222059,11.8760969651207,2,61
JO,f10,1992,14881,213594,14.3534708688932,13.6699032612895,2,61
KE,f10,1992,4623,71708,15.5111399524119,13.1210373645222,4,61
KG,f10,1992,10768,172207,15.9924777117385,10.2382121119246,4,60
KN,f10,1992,3831,33542,8.7554163403811,8.03545109609009,4,57
KR,f10,1992,9,36,4.0,1.15470053837925,2,5
KS,f10,1992,124768,1778541,14.2547848807387,13.4521374849062,2,61
